Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2004,Unburn,1,Individual,,,,,53.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2004,Unburn,1,Individual,,,,,1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2004,Unburn,1,Individual,,,,,4.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2004,Unburn,1,Individual,,,,,52.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2004,Unburn,1,Individual,,,,,12.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2004,Burn,1,Individual,,,,,236.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2004,Burn,1,Individual,,,,,484.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2004,Burn,1,Individual,,,,,124.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2004,Burn,1,Individual,,,,,28.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2004,Burn,1,Individual,,,,,268.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2004,Unburn,1,Individual,,,,,1.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2004,Unburn,1,Individual,,,,,66.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2004,Unburn,1,Individual,,,,,1.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,521.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,208.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,630,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,209.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,277.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,150.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2005,Burn,2,Individual,,,,,124.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,200.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,27.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,22.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,10.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,26.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,6.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,27.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2005,Unburn,2,Individual,,,,,4.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2005,Burn,2,Individual,,,,,33.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2005,Burn,2,Individual,,,,,33.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2005,Burn,2,Individual,,,,,35.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2005,Burn,2,Individual,,,,,49,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2005,Burn,2,Individual,,,,,83.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2005,Unburn,2,Individual,,,,,1.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2005,Unburn,2,Individual,,,,,3.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2005,Unburn,2,Individual,,,,,2.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2005,Unburn,2,Individual,,,,,3.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2005,Unburn,2,Individual,,,,,3.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,534.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,446,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,208.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,142.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,195.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,109.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2005,Burn,2,Individual,,,,,96.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,0.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,1.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,38.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,3.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,1.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,9.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,0.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Control_3,Dsb,Ha,2005,Unburn,2,Individual,,,,,23.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2005,Burn,2,Individual,,,,,455.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2005,Burn,2,Individual,,,,,770.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Site_4,Dsb,SF,2005,Burn,2,Individual,,,,,632.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,234.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,2.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,230.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,2.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,2.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,63.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,72.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,3.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,72.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.7,-115.7333333,130,,Control_4,Dsb,SF,2005,Unburn,2,Individual,,,,,6.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2006,Burn,3,Individual,,,,,349.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2006,Burn,3,Individual,,,,,200,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2006,Burn,3,Individual,,,,,247.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2006,Burn,3,Individual,,,,,279.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2006,Burn,3,Individual,,,,,187.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2006,Burn,3,Individual,,,,,87.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,120.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,48.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,111.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,24.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,93.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,14.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,3.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,6.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,24.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,7.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2006,Unburn,3,Individual,,,,,26.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,67.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,33.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,16.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,15.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,26,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,12.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,14,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,20.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2006,Burn,3,Individual,,,,,27.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,0.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,2.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,1.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,3.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,2.1,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,3.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,5.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2006,Unburn,3,Individual,,,,,4.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2006,Burn,3,Individual,,,,,421.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2006,Burn,3,Individual,,,,,407.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2006,Burn,3,Individual,,,,,273.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2006,Burn,3,Individual,,,,,611.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2006,Burn,3,Individual,,,,,130.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2006,Burn,3,Individual,,,,,346.6,ug_L,,,Supplemental,
