DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
6/9/2015 15:15,RainColl_Burn_Low_OC,NM_P412,PrcpColl,334.5,Grab,Precipitation,7.32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1304,138.7148,950.1174,1167.8317,29.1958,512.7356,1420.4342,10863.1476,7756.5279,1.2531,1.0234,0.6421,1.1939,85.1795,0.3813,1.3775,5.177,4.7155,1.7869,0.2107,44.2452,73.2445,0.086,0.2508,0.0602,0.0803,2.2173,0.903,34.1119,50.4182,68.1376,17.3265,70.0864,16.9856,2.9332,3.4348,2.1467,13.7682,3.0961,7.78,1.602,8.2353,1.0607,10.4342,0.0702,14.2668,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Kate | Field Note:  | Volume: 21 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
6/15/2015 13:55,RainColl_Burn_Low_CC,NM_P414,PrcpColl,142.6,Grab,Precipitation,7.04,-9999,0.691,6.377,22.34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0495,119.7852,322.8588,521.922,123.8946,239.7029,1111.0972,62.2939,15.7468,1.1726,0.0099,0.0297,171.333,0.2179,0.0099,1.3043,10.2305,65.6612,1.3311,0.0792,16.341,58.455,0.1369,0.1297,0.0792,0.1387,2.2184,0.1089,25.1553,47.1792,80.6455,12.4619,48.1348,12.7128,1.582,2.0772,1.9736,10.5385,2.2831,5.4257,1.0212,8.6226,1.6466,10.2998,1.8817,3.8061,-9999,-9999,1.1813,1.0302,0.0923,0.0795,-93.27,-13.39,Sampled by: Kate | Field Note: Sample very dirty | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
6/15/2015 10:10,RainColl_MCZOB,NM_P415,PrcpColl,142.7,Grab,Precipitation,7.13,-9999,0.901,1.488,0.469,0.66,3.434,0.74,0.49,13.925,3.887,0.755,0.0703,107.0594,47.6961,47.194,3.9462,89.5288,40.4294,32.7346,4.2173,0.6005,0.01,0.0201,7.1293,0.1004,0.0201,0.3514,0.733,136.3606,0.5623,0.0492,1.707,1.7183,0.0239,0.1356,0.0703,0.0904,2.1689,2.1227,4.4383,3.1895,3.9024,0.732,1.613,1.6257,0.1192,0.6213,0.0097,0.4399,0.1831,0.4155,1.3017,0.4616,0.0676,9.9409,0.0007,0.0463,-9999,-9999,1.2438,1.235,0.0174,0.0134,-85.88,-11.87,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
6/15/2015 10:05,RainColl_MCZOB_CC,NM_P416,PrcpColl,142.5,Grab,Precipitation,7.28,-9999,4.189,12.51,2.848,0.66,36.999,1.958,0.49,7.391,9.405,6.406,0.0199,123.7983,355.9847,259.5308,22.6717,166.7601,341.0759,5355.2509,1680.4865,0.8243,0.2387,0.0994,71.893,27.1463,0.1492,0.348,1.4916,6.0458,0.3281,0.2287,5.2304,28.7573,0.0017,0.1124,0.0696,0.0796,2.1379,0.1094,16.606,20.323,44.1486,6.4528,24.0439,5.9077,0.8768,1.374,1.1539,4.9599,1.0355,2.1072,1.0628,3.3553,0.83,10.0431,0.0398,2.675,-9999,-9999,1.3193,2.9264,0.0273,0.0217,-87.43,-12.08,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
6/15/2015 13:50,RainColl_Burn_Low_OC,NM_P417,PrcpColl,142.6,Grab,Precipitation,7.12,-9999,1.859,2.809,0.111,0.66,3.169,0.74,0.49,0.4,4.834,3.551,0.2104,112.5454,37.4975,104.1875,4.6985,108.3578,187.2585,1009.8173,543.979,0.6351,0.1202,0.0801,30.3546,5.54,0.0601,0.3807,0.561,5.6802,0.3607,0.0401,3.6977,3.8622,0.0501,0.1493,0.0601,0.0601,2.1338,0.0902,14.5261,3.0647,7.9313,0.5267,2.192,0.1243,0.026,0.2411,0.1317,1.1731,0.2609,0.185,0.1507,0.2682,0.4746,9.8077,0.01,0.1155,-9999,-9999,1.6202,1.0102,0.016,0.0146,-88.79,-12.07,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/1/2015 16:15,RainColl_Burn_Low_CC,NM_P418,PrcpColl,386.3,Grab,Precipitation,7.08,-9999,-9999,79.355,2.155,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2199,130.0914,216.9275,858.713,56.981,264.4045,1565.0086,15831.4739,4630.7061,0.3399,0.1999,0.2299,320.8928,108.6637,0.5298,0.8217,1.8394,49.8833,1.2276,0.4299,25.5915,82.3468,0.0237,0.113,0.07,0.13,2.1893,0.11,77.674,55.212,75.2131,11.7087,45.8395,11.7493,1.395,1.8948,1.7278,12.6279,3.113,6.1557,1.5201,8.857,2.4692,9.9867,0.4798,2.3052,-9999,-9999,1.4306,1.1058,0.0122,0.0105,-9999,-9999,Sampled by: Kate | Field Note: Sample very dirty | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
7/1/2015 11:00,RainColl_MCZOB,NM_P419,PrcpColl,384.8,Grab,Precipitation,7.57,-9999,-9999,6.913,2.204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0019,116.8434,231.1987,257.99,6.033,148.7249,448.2212,4460.0026,2676.0015,0.9883,0.258,0.1588,34.6302,22.2268,0.1588,0.4366,1.1411,44.3544,0.516,0.0595,6.6184,8.3571,0.053,0.125,0.0695,0.0794,2.1036,1.8407,12.6018,5.1972,9.4727,1.4287,7.2592,0.7936,0.0394,0.1023,0.2173,1.7858,2.6715,0.8617,0.0747,1.2555,0.2945,9.8929,0.0099,0.1144,-9999,-9999,1.2863,0.6573,0.0189,0.0147,-9999,-9999,Sampled by: Kate | Field Note: Sample very dirty | Volume: 250 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/1/2015 11:05,RainColl_MCZOB_CC,NM_P420,PrcpColl,385,Grab,Precipitation,7.51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1314,132.1043,475.0887,659.0593,17.9927,555.5409,747.0593,19011.9822,3617.5019,1.0139,0.1415,0.1415,114.2235,38.5125,0.2426,1.2019,1.8397,6.257,0.8693,0.0809,11.4426,48.0022,0.0043,0.1112,0.0708,0.0607,2.1834,0.2628,33.0541,30.8576,59.9351,9.8595,40.0459,10.3228,1.6328,2.1382,1.3852,7.7415,2.0283,5.1918,0.7115,5.1174,0.9829,10.5126,0.0303,5.0502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Kate | Field Note:  | Volume: 150 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
7/1/2015 16:10,RainColl_Burn_Low_OC,NM_P421,PrcpColl,386.3,Grab,Precipitation,6.8,-9999,2.346,86,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0503,146.3925,280.624,1412.1721,83.986,241.1543,4236.3429,20923.0793,3806.0269,0.9726,0.2213,0.8751,269.5599,65.8813,0.4023,0.5331,1.5993,23.838,3.2488,0.2615,37.2154,74.5506,0.006,0.1267,0.1106,0.1106,2.1223,0.0905,38.3218,63.4409,102.6588,16.334,60.8514,14.0731,2.4369,2.9398,2.3176,9.588,2.5273,8.3721,1.5048,6.7509,1.5696,9.9677,0.3822,1.1597,-9999,-9999,1.5605,0.575,0.0114,0.0116,-9999,-9999,Sampled by: Kate | Field Note: Sample very dirty | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/6/2015 10:55,RainColl_MCZOB,NM_P422,PrcpColl,119.9,Grab,Precipitation,7.09,-9999,0.991,1.258,0.357,0.66,1.692,0.74,0.49,10.498,1.735,0.755,0.2582,134.0433,9.234,19.3617,3.217,114.9205,33.4484,180.7093,202.5532,0.8668,0.0497,0.1291,6.1858,3.3858,0.0298,0.0993,0.2284,23.4326,0.4965,0.1092,0.6454,1.4648,0.0446,0.0983,0.1092,0.0695,2.0851,0.1092,3.5745,1.1074,2.8199,0.5653,1.1745,0.7518,0.2822,0.7786,0.0041,0.9034,0.3367,0.038,0.0126,0.0374,0.6711,9.6213,0.0199,0.3434,-9999,-9999,1.1597,0.697,0.0198,0.0167,-55.27,-7.51,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/6/2015 11:15,RainColl_MCZOB_CC,NM_P423,PrcpColl,120.2,Grab,Precipitation,6.96,-9999,4.476,11.98,2.643,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0098,149.8349,13.561,78.3417,18.244,181.963,313.294,7481.4856,1960.9817,0.7317,0.1659,0.0976,55.8051,30.244,0.1268,0.6342,1.3854,3.5707,0.6146,0.0781,5.7464,24.7005,0.0025,0.1181,0.0976,0.0878,2.0488,0.1951,17.2684,22.3434,39.9187,5.6938,23.1772,5.1693,0.2867,0.7745,0.8045,4.5613,1.1307,3.5679,0.5763,3.3296,0.7909,9.6098,0.0195,0.0003,-9999,-9999,1.5076,1.794,0.0249,0.0198,-40.4,-5.76,Sampled by: Kate | Field Note:  | Volume: 250 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
7/8/2015 15:05,RainColl_Burn_Low_OC,NM_P424,PrcpColl,166.9,Grab,Precipitation,7.06,-9999,1.834,2.031,0.099,0.66,2.162,0.74,0.49,0.4,2.134,2.297,0.01,145.6648,70.4009,183.2215,7.9901,124.7996,154.5563,734.8777,221.0608,0.6891,0.0398,0.0498,21.5086,2.5432,0.0199,0.1295,0.1593,0.0687,0.4879,0.1394,1.6132,0.8926,0.049,0.1344,0.0896,0.0697,2.0812,0.0498,3.8935,1.0938,2.7086,0.6104,0.7569,0.3262,0.0176,0.3222,0.1795,0.6452,0.0256,0.1854,0.3256,0.6485,0.3209,9.6391,0.0398,0.0382,-9999,-9999,1.3242,0.7541,0.0281,0.0236,-49.65,-7.79,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/8/2015 15:10,RainColl_Burn_Low_CC,NM_P425,PrcpColl,166.9,Grab,Precipitation,6.91,-9999,1.984,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0019,138.9431,0.0131,0.0036,28.4927,207.3036,270.5357,2899.3677,1269.6762,0.9018,0.18,0.16,106.9727,18.9952,0.14,0.21,0.6998,5.4986,0.5899,0.2,7.4481,28.741,0.0017,0.139,0.11,0.06,2.1095,0.08,29.2925,38.4193,78.6827,9.0695,31.2563,6.2938,0.4075,0.9073,1.1808,5.3521,1.2102,3.4851,0.4523,2.8752,1.0106,9.6975,0.03,3.8425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Kate | Field Note: Sample very dirty | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
7/13/2015 12:15,RainColl_MCZOB,NM_P426,PrcpColl,169.3,Grab,Precipitation,7.2,-9999,0.676,1.418,0.826,6.665,5.492,0.74,0.49,9.168,2.412,0.755,0.0722,1.1189,27.1904,17.9986,1.7205,5.6546,24.2404,495.6834,141.6066,0.5101,0.0241,0.0361,3.2484,2.2739,0.0361,0.0842,0.1925,17.77,0.0361,0.2166,0.5414,2.7443,0.0012,0.0168,0.0481,0.0361,0.0008,0.0602,1.0347,2.6709,1.913,0.0895,9.1461,4.5718,0.7339,7.9033,1.5641,2.4664,1.7566,1.2152,1.8287,7.0226,0.9023,0.0699,0.0602,1.0828,-9999,-9999,1.5436,0.5802,0.012,0.0099,-46.27,-6.76,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/13/2015 12:30,RainColl_MCZOB_CC,NM_P427,PrcpColl,169.3,Grab,Precipitation,7.13,-9999,3.142,10.32,0.473,0.66,8.499,0.74,0.49,0.4,3.978,9.888,0.1465,5.7401,78.7179,198.0452,8.5256,96.5813,263.187,2369.8738,1440.9785,0.6145,0.0596,0.0238,55.0192,20.5786,0.0715,0.3454,0.9051,10.063,0.1191,0.0357,5.5496,15.4816,0.0167,0.0226,0.0596,0.0119,0.0238,0.0322,12.814,12.1471,12.9021,2.751,12.8735,9.682,3.1678,12.3615,1.5124,1.8459,3.6322,5.0375,1.9531,3.9657,0.5359,0.0619,0.3096,2.9772,-9999,-9999,1.3279,2.9162,0.0245,0.0198,-43.55,-6.68,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
7/13/2015 16:10,RainColl_Burn_Low_OC,NM_P428,PrcpColl,121.1,Grab,Precipitation,7.08,-9999,1.4,1.254,0.248,0.66,2.82,0.74,0.49,7.25,2.429,0.755,0.1791,0.3099,47.7615,50.3901,1.7906,3.7879,36.0421,220.3847,188.2453,0.2296,0.0804,0.0344,11.7079,3.3746,0.023,0.1377,0.1951,4.2355,0.0344,0.2525,1.3659,1.6736,0.0138,0.0172,0.0574,0.0344,0.023,0.0023,1.1019,3.96,0.3329,0.2169,0.4247,9.2401,0.9757,8.5215,0.5739,0.6612,3.0877,4.0289,0.8035,4.2126,0.8035,0.0719,0.0574,1.3774,-9999,-9999,1.3373,1.0821,0.0144,0.012,-47.18,-7.6,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
7/13/2015 16:15,RainColl_Burn_Low_CC,NM_P429,PrcpColl,121.1,Grab,Precipitation,6.77,-9999,3.113,23.23,0.638,0.66,6.92,0.74,0.49,0.4,3.753,0.755,0.0697,6.8495,152.3789,538.4983,51.839,136.1065,283.6037,3305.1126,1487.7571,0.5707,0.1395,0.1511,195.733,34.4044,0.1279,0.3138,0.9996,10.7804,0.6997,0.1511,13.2968,34.4044,0.05,0.0267,0.0581,0.0116,0.0116,0.0081,15.0519,30.8012,61.8349,8.0432,33.0096,11.1814,0.1953,16.0166,1.4529,8.0432,3.394,2.836,2.592,3.4056,0.5928,0.0544,0.1511,2.3246,-9999,-9999,1.3577,1.8288,0.0199,0.0161,-42.61,-7.35,Sampled by: Kate | Field Note: Sample very dirty | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
7/22/2015 11:50,RainColl_MCZOB,NM_P430,PrcpColl,215.6,Grab,Precipitation,7.07,-9999,0.988,1.339,0.476,0.66,4.033,0.74,0.49,9.126,2.583,2.979,0.191,0.7618,34.8092,22.0341,4.0787,13.2439,92.0042,192.2126,130.2123,0.8028,0.0469,0.0938,4.4772,9.2825,0.0234,0.1055,0.3633,30.4727,0.1406,0.2344,0.5274,4.6061,0.0117,0.1664,0.0469,0.0234,0.0117,0.0445,1.5002,2.7894,3.5747,0.5497,8.005,1.172,0.2637,9.5638,1.9983,2.4027,1.9925,3.2817,1.5119,0.1289,0.9493,0.0795,0.0703,1.2892,-9999,-9999,1.5718,0.5074,0.0142,0.0119,-67.89,-9.8,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
