Study_ID,response_var,Pair,year,meanConc,Site,latitude,longitude,Area_watershed_km,Climate,Burn_Unburn,TempNorm
Murphy et al. 2018,DOC_Interp,Site_1,2014,2.0039093152371827,DS1,40.039046,-105.393878,37,Cfb,Burn,0.054159711223
Murphy et al. 2018,DOC_Interp,Site_1,2015,2.176087810249117,DS1,40.039046,-105.393878,37,Cfb,Burn,0.058813184061
Murphy et al. 2018,DOC_Interp,Site_2,2010,3.263238778330171,DS2,40.041668,-105.364823,50,Cfb,Burn,0.065264775567
Murphy et al. 2018,DOC_Interp,Site_2,2011,2.782590743274054,DS2,40.041668,-105.364823,50,Cfb,Burn,0.055651814865
Murphy et al. 2018,DOC_Interp,Site_2,2012,2.176988349885409,DS2,40.041668,-105.364823,50,Cfb,Burn,0.043539766998
Murphy et al. 2018,DOC_Interp,Site_2,2013,2.7359708275854695,DS2,40.041668,-105.364823,50,Cfb,Burn,0.054719416552
Murphy et al. 2018,DOC_Interp,Site_2,2014,2.2435440452057436,DS2,40.041668,-105.364823,50,Cfb,Burn,0.044870880904
Murphy et al. 2018,DOC_Interp,Site_2,2015,2.4478402532458596,DS2,40.041668,-105.364823,50,Cfb,Burn,0.048956805065
Murphy et al. 2018,DOC_Interp,Site_3,2011,2.7358709677419357,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.043357701549
Murphy et al. 2018,DOC_Interp,Site_3,2012,2.525541252864782,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.04002442556
Murphy et al. 2018,DOC_Interp,Site_3,2013,2.9636853640396454,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.04696807233
Murphy et al. 2018,DOC_Interp,Site_3,2014,2.4559390957617855,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.038921380281
Murphy et al. 2018,DOC_Interp,Site_3,2015,2.6042490541957246,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.041271775819
Rhea et al. 2021,DOC_Interp,Control,2017,4.458910034504902,U1,40.26237,-105.590804,7.04,Dfc,Unburn,0.633367902629
Rhea et al. 2021,DOC_Interp,Site_1,2017,3.1149918300462964,B1,NA,NA,3.25,Dfc,Burn,0.95845902463
Uzun et al. 2020,DOC_Interp,Control,2016,4.568063534347826,Reference First Rainy Season,38.451372,122.056381,78,Csa,Unburn,0.058564917107
Uzun et al. 2020,DOC_Interp,Control,2017,3.407628155722892,Reference First Rainy Season,38.451372,122.056381,78,Csa,Unburn,0.043687540458
Uzun et al. 2020,DOC_Interp,Site_1,2016,4.889394815089285,Rocky Fire First Rainy Season Initial Flush,38.923564,122.326478,3017,Csa,Burn,0.001620614788
Uzun et al. 2020,DOC_Interp,Site_1,2017,4.025666345240964,Rocky Fire First Rainy Season Initial Flush,38.923564,122.326478,3017,Csa,Burn,0.001334327592
Uzun et al. 2020,DOC_Interp,Site_2,2016,5.411440537513401,Wragg Fire First Rainy Season Initial Flush,38.512031,122.097228,1491.4917,Csa,Burn,0.00362820694
Uzun et al. 2020,DOC_Interp,Site_2,2017,3.7251995552418173,Wragg Fire First Rainy Season Initial Flush,38.512031,122.097228,1491.4917,Csa,Burn,0.002497633447
Wagner et al. 2015,DOC_Interp,Control,2013,3.6506250000000002,PBR,40.699423,-105.545085,618.46,Dfb,Unburn,0.005902766549
Wagner et al. 2015,DOC_Interp,Site_1,2013,3.7293421052631577,PSF,40.685031,-105.449096,963.26,Dfb,Burn,0.003871584105
Wagner et al. 2015,DOC_Interp,Site_2,2013,4.029210526315789,PNF,40.703249,-105.242396,1255.15,Dfb,Burn,0.003210142633
Writer et al. 2014,DOC_Interp,Control,2012,2.3151079136690647,PBR,40.699423,-105.54509,618.46,Dfb,Unburn,0.003743343003
Writer et al. 2014,DOC_Interp,Control,2013,3.2230263157894736,PBR,40.699423,-105.54509,618.46,Dfb,Unburn,0.005211373922
Writer et al. 2014,DOC_Interp,Site_1,2012,3.261170212765957,PNF,40.703249,-105.242396,1255.15,Dfb,Burn,0.002598231457
Writer et al. 2014,DOC_Interp,Site_1,2013,3.5194078947368426,PNF,40.703249,-105.242396,1255.15,Dfb,Burn,0.002803973943
Writer et al. 2014,DOC_Interp,Site_2,2012,2.270890979524073,PSF,40.685031,-105.449096,963.26,Dfb,Burn,0.00235750574
Writer et al. 2014,DOC_Interp,Site_2,2013,3.366751012145749,PSF,40.685031,-105.449096,963.26,Dfb,Burn,0.003495163312
Crandall et al. 2021,DOC_Interp,Control_1,2018,12.975076923076925,Hobble Creek Lower,40.191035,-111.659939,324,Csa,Unburn,0.04004653371
Crandall et al. 2021,DOC_Interp,Control_2,2018,24.509077464788735,Dry Creek,40.180647,-111.671664,30,Csa,Unburn,0.81696924883
Crandall et al. 2021,DOC_Interp,Control_3_4,2018,10.03866,Provo River,40.234889,-111.724869,1769,Csa,Unburn,0.0056747654
Crandall et al. 2021,DOC_Interp,Site_1,2018,28.697403846153843,Benjamin Slough,40.133514,-111.771241,319,Csa,Burn,0.08996051362
Crandall et al. 2021,DOC_Interp,Site_2,2018,26.724954545454544,Payson,39.987804,-111.729891,54,Csa,Burn,0.49490656566
Crandall et al. 2021,DOC_Interp,Site_3,2018,18.20336956521739,Spanish Fork Lower,40.162204,-111.732766,1712,Csa,Burn,0.01063280933
Crandall et al. 2021,DOC_Interp,Site_4,2018,20.89842993630573,Spanish Fork Upper,40.071704,-111.57715,1650,Csa,Burn,0.01266571511
Abbott et al. 2021,DOC_Interp,Site_1,2017,15.250081581389432,BS.10,68.932756,-150.7,16.01788092,Dwc,Burn,0.4182647721
Abbott et al. 2021,DOC_Interp,Site_1,2018,13.270655338610254,BS.10,68.932756,-150.7,16.01788092,Dwc,Burn,0.3639749467
Abbott et al. 2021,DOC_Interp,Control,2017,13.239478706299058,BS.11,68.9491428,-150.746,21.34597706,Dwc,Unburn,0.3895106645
Abbott et al. 2021,DOC_Interp,Control,2018,11.79786195534427,BS.11,68.9491428,-150.746,21.34597706,Dwc,Unburn,0.3470977334
Rhea et al. 2021,DOC_Interp,Control,2017,3.4350888082045454,U1,40.26237,-105.590804,7.04,Dfc,Unburn,0.487938751
Rhea et al. 2021,DOC_Interp,Site_1,2017,3.1149918300462964,B1,NA,NA,3.25,Dfc,Burn,0.958459025
Rhea et al. 2021,DOC_Interp,Site_2,2017,1.354284502,B2,NA,NA,6.02,Dfc,Burn,0.224964203
Rhea et al. 2021,DOC_Interp,Site_3,2017,1.8506080318076925,B3,NA,NA,8.33,Dfc,Burn,0.222161829
