site,comid,longitude,latitude,objectid,fdate,resolution,gnis_id,gnis_name,lengthkm,reachcode,flowdir,wbareacomi,ftype,fcode,shape_length,streamleve,streamorde,streamcalc,fromnode,tonode,hydroseq,levelpathi,pathlength,terminalpa,arbolatesu,divergence,startflag,terminalfl,dnlevel,uplevelpat,uphydroseq,dnlevelpat,dnminorhyd,dndraincou,dnhydroseq,frommeas,tomeas,rtndiv,vpuin,vpuout,areasqkm,totdasqkm,divdasqkm,tidal,totma,wbareatype,pathtimema,hwnodesqkm,maxelevraw,minelevraw,maxelevsmo,minelevsmo,slope,elevfixed,hwtype,slopelenkm,qa_ma,va_ma,qc_ma,vc_ma,qe_ma,ve_ma,qa_01,va_01,qc_01,vc_01,qe_01,ve_01,qa_02,va_02,qc_02,vc_02,qe_02,ve_02,qa_03,va_03,qc_03,vc_03,qe_03,ve_03,qa_04,va_04,qc_04,vc_04,qe_04,ve_04,qa_05,va_05,qc_05,vc_05,qe_05,ve_05,qa_06,va_06,qc_06,vc_06,qe_06,ve_06,qa_07,va_07,qc_07,vc_07,qe_07,ve_07,qa_08,va_08,qc_08,vc_08,qe_08,ve_08,qa_09,va_09,qc_09,vc_09,qe_09,ve_09,qa_10,va_10,qc_10,vc_10,qe_10,ve_10,qa_11,va_11,qc_11,vc_11,qe_11,ve_11,qa_12,va_12,qc_12,vc_12,qe_12,ve_12,lakefract,surfarea,rareahload,rpuid,vpuid,enabled,huc2,huc4,huc6,huc8,huc10,huc12,burn_percent_fire_year,fire_years_used,burn_sev_high,burn_sev_low,burn_sev_mod,burn_sev_NA,pctbl2019ws,pctconif2019ws,pctcrop2019ws,pctdecid2019ws,pctgrs2019ws,pcthay2019ws,pcthbwet2019ws,pctice2019ws,pctmxfst2019ws,pctow2019ws,pctshrb2019ws,pcturbhi2019ws,pcturblo2019ws,pcturbmd2019ws,pcturbop2019ws,pctwdwet2019ws,tmax8110ws,pctcarbresidws,pctglactilloamws,rckdepws,pcteolfinews,precip8110ws,tmean8110ws,pctglactilcrsws,pctcolluvsedws,clayws,pcthydricws,pcteolcrsws,hydrlcondws,pctsallakews,pctextruvolws,runoffws,tmin8110ws,pctglaclakecrsws,bfiws,pctalkintruvolws,omws,pctglaclakefinews,kffactws,pctglactilclayws,wtdepws,pctalluvcoastws,permws,pctsilicicws,pctwaterws,pctcoastcrsws,pctnoncarbresidws,sandws
Quartz_Creek,22949475,-114.225834,48.72261,2332625,2001-02-27 21:00:00,Medium,789268,Quartz Creek,1.863,17010206000096,With Digitized,0,StreamRiver,46006,0.0196806500400233,4,3,3,50006112,50006747,50023054,50023054,1838.939,50001315,101.868,0,0,0,3,50023054,50023465,50010066,0,1,50014331,0,100,0,0,0,1.8666,136.8477,136.8477,0,0.0455463934947, ,1085.39335635,NA,-9998,104970,108277,105155,0.01675791,0, ,1.863,113.223,1.55488,111.354,1.55321,111.354,1.55321,15.883,0.74767,56.963,1.18041,56.963,1.18041,7.874,0.61103,42.573,1.05548,42.573,1.05548,10.416,0.6595,28.936,0.91698,28.936,0.91698,79.168,1.33921,90.331,1.42231,90.331,1.42231,201.553,2.00149,209.108,2.04787,209.108,2.04787,256.711,2.23354,261.063,2.26541,261.063,2.26541,230.11,2.1249,164.494,1.83976,164.494,1.83976,191.491,1.95607,110.872,1.55034,110.872,1.55034,152.158,1.7667,116.63,1.58418,116.63,1.58418,117.723,1.58095,110.39,1.54747,110.39,1.54747,64.527,1.23314,71.616,1.29312,71.616,1.29312,31.792,0.9434,65.463,1.24725,65.463,1.24725,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020605,HUC-170102060502,27.0952,1988,4.88,8.24,9.47,NA,8.53,59.56,0,0.02,0.26,0,0,1.56,0.28,3.37,26.2,0,0,0,0.03,0.19,8.2256800757,9.12,0,123.37437449468356,0,1310.84056059,2.85013135613,14.45,0,12.640969082703936,0,0,0.7,0,0,666.995,-2.53016202866,0,69.7273,0,0.8629788882169479,0,0.2308,0,182.74488738662228,0.17,5.0905817848286175,0,0,0,76.26,36.159630633478386
Red_Bench_Creek,22950879,-114.39971,48.81409,2333208,2001-02-27 21:00:00,Medium, , ,2.057,17010206000696,With Digitized,0,StreamRiver,46006,0.0224439447585747,5,1,1,50146207,50006356,50228496,50228496,1861.221,50001315,2.057,0,1,0,4,0,0,50034479,0,1,50035658,0,100,0,0,0,1.9386,1.9386,1.9386,0,0.0894134600797, ,1085.89480756,0.1206,-9998,124759,137433,124759,0.0664604,0,H,1.907,1.234,0.87967,1.081,0.87358,1.081,0.87358,0.11,0.46664,1.305,0.93302,1.305,0.93302,0.055,0.41791,1.35,0.94437,1.35,0.94437,0.115,0.47042,0.785,0.78527,0.785,0.78527,0.995,0.81796,1.262,0.92201,1.262,0.92201,2.858,1.20074,2.062,1.10478,2.062,1.10478,3.481,1.29925,2.338,1.15971,2.338,1.15971,3.032,1.22919,1.975,1.08675,1.975,1.08675,1.681,0.98158,1.509,0.9831,1.509,0.9831,0.957,0.80754,1.752,1.03878,1.752,1.03878,0.875,0.78435,1.728,1.03345,1.728,1.03345,0.439,0.63839,0.562,0.70773,0.562,0.70773,0.21,0.53147,0.834,0.80085,0.834,0.80085,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020604,HUC-170102060408,100,1988,53.3,15.23,16.57,NA,0,22.61,0,0,0,0,0,0,0,0,77.39,0,0,0,0,0,9.46531688714,0,0,132.85948467966574,0,869.206234025,3.72571218833,78.74,0,15.208156917363048,0,0,0.7152,0,0,664,-2.02007719163,0,71.2071,0,0.6691736304549676,0,0.2628,0,182.88,0,4.677567316620242,0,0,0,21.26,34.899312906220985
Red_Meadow_Creek,22949989,-114.32894,48.802772,2332839,2001-02-27 21:00:00,Medium,789461,Red Meadow Creek,1.708,17010206000320,With Digitized,0,StreamRiver,46006,0.020800823971532,4,3,3,50006355,50006354,50034479,50034479,1854.882,50001315,70.758,0,0,0,3,50034479,50035658,50010066,0,1,50018128,0,100,0,0,0,1.5291,77.9949,77.9949,0,0.0445280589035, ,1085.72724619,NA,-9998,109888,113621,109888,0.02185597,0, ,1.708,70.446,1.45924,68.443,1.45655,68.443,1.45655,10.111,0.71893,40.415,1.17639,40.415,1.17639,5.115,0.59428,31.505,1.06886,31.505,1.06886,4.352,0.57078,14.386,0.80993,14.386,0.80993,31.284,1.05626,36.503,1.13071,36.503,1.13071,107.061,1.74567,105.232,1.75118,105.232,1.75118,150.488,2.0305,145.357,2.02115,145.357,2.02115,160.898,2.09276,114.136,1.81477,114.136,1.81477,134.663,1.93183,80.554,1.56031,80.554,1.56031,100.371,1.69726,82.633,1.57736,82.633,1.57736,80.481,1.54357,79.956,1.55537,79.956,1.55537,40.821,1.16975,45.898,1.23705,45.898,1.23705,20.184,0.90099,44.092,1.21746,44.092,1.21746,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020604,HUC-170102060408,24.087,1988,10.35,4.58,7.05,NA,0.33,69.12,0,0.08,0.32,0,0.03,0,0.5,0.33,29.11,0,0,0,0.02,0.17,7.897483888089999,0,0,121.27121957974177,0,1188.06377718,2.6257189393,32.85,0,12.726381301854351,0,0,0.3938,0,0,662.4758,-2.6506032788900002,0,72.3856,0,0.8868069835335388,0,0.212,0,182.47324782774257,0.2,5.410980025617058,0,0,0,66.95,33.95650477146582
Wally_Creek,22950913,-114.436506,48.80153,2333220,2001-02-27 21:00:00,Medium, , ,2.423,17010206000709,With Digitized,0,StreamRiver,46006,0.0257296972632934,5,1,1,50146215,50006358,50228488,50228488,1864.641,50001315,2.423,0,1,0,4,0,0,50034479,0,1,50038353,0,100,0,0,0,1.8666,1.8666,1.8666,0,0.0914972651579, ,1085.99191919,0.2097,-9998,130486,178524,130486,0.21143485,0,H,2.272,1.804,1.01257,1.595,1.00558,1.595,1.00558,0.245,0.55232,2.398,1.17413,2.398,1.17413,0.13,0.48262,2.435,1.18119,2.435,1.18119,0.069,0.43286,0.523,0.69405,0.523,0.69405,0.498,0.6639,0.642,0.73841,0.642,0.73841,2.531,1.15128,1.807,1.05335,1.807,1.05335,3.989,1.38159,2.715,1.23313,2.715,1.23313,4.62,1.46863,3.037,1.28983,3.037,1.28983,3.713,1.3415,3.098,1.30025,3.098,1.30025,2.36,1.12054,3.7,1.39832,3.7,1.39832,2.01,1.05418,3.497,1.36615,3.497,1.36615,0.995,0.8218,1.244,0.91938,1.244,0.91938,0.495,0.66276,1.754,1.04166,1.754,1.04166,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020604,HUC-170102060408,0,1988,0,0,0,0,0,13.16,0,0,0.24,0,0,0,0,0,86.6,0,0,0,0,0,7.64885495646,0,0,123.71226133076182,0,1161.70215259,2.4380904367099996,8.39,0,13.098693346190936,0,0,0.1526,0,0,664,-2.77541003824,0,72.1249,0,0.8566055930568949,0,0.1817,0,182.88,0,5.312015429122469,0,0,0,91.61,34.274850530376085
Cold_Creek,8944471,-119.948785,38.898689,2276813,1999-06-15 21:00:00,Medium,221315,Cold Creek,2.282,16050101000323,With Digitized,0,StreamRiver,46006,0.0241980320126822,7,2,2,800012687,800012684,800019167,800015866,267.148,800001173,27.729,0,0,0,7,800015866,800020671,800015866,0,1,800017910,0,100,0,0,0,3.1995,30.3471,30.3471,0,0.0669667769634, ,91282.6196102,NA,-9998,192628,203226,192825,0.04557843,0, ,2.282,16.989,1.31014,13.899,1.29398,13.899,1.29398,8.592,1.00589,18.529,1.45654,18.529,1.45654,10.371,1.07919,17.39,1.41851,17.39,1.41851,15.819,1.27289,18.189,1.44531,18.189,1.44531,21.213,1.43549,18.963,1.47075,18.963,1.47075,32.685,1.72633,33.656,1.8847,33.656,1.8847,34.173,1.76024,31.499,1.83022,31.499,1.83022,27.854,1.61088,15.388,1.3487,15.388,1.3487,19.378,1.38262,9.12,1.09639,9.12,1.09639,11.685,1.12959,6.749,0.97997,6.749,0.97997,7.323,0.94914,5.814,0.92884,5.814,0.92884,7.03,0.93539,7.685,1.02792,7.685,1.02792,7.903,0.9756,12.706,1.24811,12.706,1.24811,NA,NA,NA,16a,16,1,HUC-16,HUC-1605,HUC-160501,HUC-16050101,HUC-1605010103,HUC-160501010302,0,2021_2022,NA,NA,NA,0,1.71,55.35,0,0.02,0.61,0,0.38,0,0,0.26,40.68,0,0.29,0.02,0.16,0.52,11.1335055782,0,0,82.79144577241317,0,839.749505546,4.94601616299,1.67,0,3.839820279367716,0,0,0.0346,0,0,527.9625,-1.2459928731,0,72.2007,0,1.7082781221269907,0,0.1126,0,178.73533586405293,0,28.645814229366234,98.33,0,0,0,78.33550401850589
Middle_Fork_American,14997923,-120.920501,38.958701,2590132,1999-06-15 21:00:00,Medium,263517,Middle Fork American River,1.468,18020128000024,With Digitized,0,StreamRiver,46006,0.0163274245471445,3,5,5,10043932,10043944,10009323,10008264,186.994,10002293,1229.584,0,0,0,3,10008264,10009385,10008264,0,1,10009259,13.97217,82.22037,0,0,0,2.5209,1520.7759,1520.7759,0,0.0244401835805, ,101.342941113,NA,-9998,21856,23204,21870,0.00908719,0, ,1.468,1822.864,2.3349,1713.099,2.32473,1305.429,2.28083,3201.346,3.04126,2548.801,2.79833,1915.384,2.72617,3595.396,3.21502,2751.84,2.90176,2237.595,2.93425,3858.022,3.32589,3137.186,3.08867,2316.551,2.98305,2904.463,2.90362,2868.67,2.95966,1802.277,2.64927,2053.627,2.46731,3363.361,3.19336,1557.965,2.47503,1294.41,1.99805,2507.272,2.77671,1084.466,2.09586,762.206,1.58386,756.309,1.61461,799.583,1.8288,411.903,1.2283,303.58,1.11287,761.983,1.7904,246.242,1.0084,253.42,1.0393,631.03,1.64919,217.596,0.9639,258.023,1.04632,476.066,1.46285,1072.518,1.83748,1169.746,1.95497,768.452,1.79707,2269.63,2.58506,1519.548,2.20037,1235.948,2.22437,NA,NA,NA,18b,18,1,HUC-18,HUC-1802,HUC-180201,HUC-18020128,HUC-1802012805,HUC-180201280504,NA,2021_2022,NA,NA,NA,0,0.85,60.9,0,0.24,1.18,0,0.1,0,2.32,1.12,32.12,0.01,0.11,0.03,0.95,0.08,16.6409475728,32.35,0,106.18976397252182,0,1502.14109638,10.4277479944,3.04,0,16.160149520989748,0,0,0.1002,0,0,767.7142,4.2096859095,0,61.8575,0,1.7231383587502158,0,0.2108,0,174.67430607826137,0,8.426582925225809,64.61,0,0,0,46.422810284786
North_Fork_American,14997117,-120.939907,39.000053,2590348,1999-06-15 21:00:00,Medium,267066,North Fork American River,1.913,18020128000226,With Digitized,0,StreamRiver,46006,0.0203941582579465,2,5,5,10043762,10043795,10010571,10005155,186.555,10002293,766.12,0,0,0,2,10005155,10010643,10005155,0,1,10010499,0,83.16882,0,0,0,2.6298,856.9953,856.9953,0,0.043018409286, ,103.851958128,NA,-9998,23313,23831,23459,0.00194458,0, ,1.913,1055.839,1.70161,938.516,1.68838,940.467,1.68862,1949.345,2.23778,1571.743,2.12302,1559.391,2.11375,2179.281,2.35547,1648.569,2.16959,1643.694,2.16493,2272.016,2.40127,1759.22,2.23492,1779.278,2.24474,1639.3,2.06823,1504.292,2.08125,1518.149,2.08824,1110.079,1.73917,1574.727,2.12485,1573.13,2.12218,699.158,1.42773,1205.463,1.88456,1188.041,1.87096,408.463,1.14981,383.837,1.1668,376.739,1.15754,221.779,0.91677,152.073,0.83341,149.333,0.82788,132.051,0.77035,132.325,0.79603,129.521,0.79007,117.503,0.74258,128.756,0.789,128.286,0.78762,605.578,1.3455,655.607,1.44903,650.252,1.44301,1342.308,1.89102,936.857,1.68709,928.572,1.67932,NA,NA,NA,18b,18,1,HUC-18,HUC-1802,HUC-180201,HUC-18020128,HUC-1802012806,HUC-180201280603,0,2021_2022,NA,NA,NA,0,0.05,71.67,0,0.54,0.86,0.01,0.02,0,5.41,0.4,18.17,0.05,0.45,0.29,2.01,0.06,17.5227176791,21.3,0,100.37235164883634,0,1581.9163683,11.297521975599999,0,0,19.53813118228303,0,0,0.1321,0,0,773.3198,5.06738620852,0,57.417,0,1.5950539005289757,0,0.2335,0,178.2145904137397,0,6.021983098390387,78.7,0,0,0,40.88690114753255
Trout_Creek,8944501,-119.978005,38.88376,2276514,1999-06-15 21:00:00,Medium,236569,Trout Creek,2.006,16050101000034,With Digitized,0,StreamRiver,46006,0.0202115803994126,6,3,3,800012696,800012691,800027371,800013667,267.825,800001173,43.374,0,0,0,6,800013667,800031015,800013667,0,1,800024638,0,100,0,0,0,4.2759,56.0808,56.0808,0,0.0736813062959, ,91281.9919531,NA,-9998,191423,191944,191429,0.00256729,0, ,2.006,36.144,1.04689,28.03,1.03184,28.995,1.03382,26.557,0.93539,29.744,1.055,15.401,0.82682,31.969,1.00029,25.198,0.99205,11.209,0.74634,46.346,1.15111,32.407,1.08978,19.358,0.89375,55.658,1.23716,41.572,1.20026,33.155,1.08735,70.58,1.36201,72.551,1.50711,68.799,1.45617,64.577,1.31343,62.474,1.41561,75.151,1.51128,47.404,1.16127,25.722,0.99956,36.53,1.1285,25.768,0.92543,11.732,0.76396,14.945,0.81861,13.783,0.751,7.671,0.67195,10.53,0.73204,9.556,0.67277,6.932,0.65291,9.265,0.70421,17.592,0.81223,13.313,0.79559,9.77,0.71552,24.212,0.90536,22.407,0.95074,11.093,0.74392,NA,NA,NA,16a,16,1,HUC-16,HUC-1605,HUC-160501,HUC-16050101,HUC-1605010103,HUC-160501010302,NA,2021_2022,NA,NA,NA,0,0.13,75.42,0,0.01,0.06,0,0.17,0,0,0.05,21.17,0,1.03,0.05,1.23,0.67,12.0157819077,0,0,95.63473777121582,0,874.494891299,5.4318975716999995,14.71,0,4.306314835023752,0,0,0.04,0,0,536.5193,-1.1569489744399999,0,70.4345,0,2.103174990371036,0,0.0961,0,173.39189931313388,0,25.21883168571061,85.29,0,0,0,76.21514684169983
Coal,22957705,-113.696178,48.418961,2334109,2001-03-01 21:00:00,Medium,781438,Coal Creek,2.12,17010207000303,With Digitized,0,StreamRiver,46006,0.0253649974182843,3,3,3,50007090,50007089,50038345,50036928,1835.638,50001315,59.292,0,0,0,3,50036928,50039944,50036928,0,1,50036928,0,100,0,0,0,2.5533,96.5538,96.5538,0,0.0519036797445, ,1085.59582531,NA,-9998,109592,115107,109637,0.02580188,0, ,2.12,90.596,1.55324,88.592,1.55099,88.592,1.55099,12.361,0.74068,47.081,1.19666,47.081,1.19666,6.204,0.60817,36.047,1.07923,36.047,1.07923,9.276,0.67955,26.371,0.96134,26.371,0.96134,57.945,1.29026,66.615,1.37642,66.615,1.37642,154.56,1.96151,156.759,1.9908,156.759,1.9908,206.587,2.23686,205.734,2.25209,205.734,2.25209,194.401,2.17559,138.464,1.88351,138.464,1.88351,160.363,1.99418,94.388,1.59352,94.388,1.59352,120.678,1.75796,96.257,1.60697,96.257,1.60697,90.212,1.55044,88.083,1.54719,88.083,1.54719,50.218,1.21841,56.132,1.2836,56.132,1.2836,24.826,0.93441,52.791,1.25233,52.791,1.25233,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010207,HUC-1701020703,HUC-170102070306,55.8481,2003,17.49,13.21,14.7,NA,7.78,31.97,0,0.08,1.19,0.01,0.02,0.4,0.64,0.41,57.33,0,0,0,0,0.16,7.92464912608,1.09,0,117.921326783617,0,1340.38651265,2.68800997056,3.14,0,11.568165023023436,0,0,1.8243,0,0,881,-2.5534356971000003,0,66.6211,0,0.965669450606812,0,0.2264,0,182.88,1.4,5.3971271974795405,0,0,0,94.37,34.96618332991555
Fish Creek,22958009,-113.9858333,48.54888888,2334242,2001-03-01 21:00:00,Medium,783434,Fish Creek,0.855,17010207000420,With Digitized,0,StreamRiver,46006,0.008900594447949,4,3,3,50007237,50007236,50064327,50059282,1809.241,50001315,31.6,0,0,0,4,50059282,50070717,50059282,0,1,50059282,0,100,0,0,0,0.378,37.1574,37.1574,0,0.025564087336, ,1173.49313667,NA,-9998,96302,98953,96645,0.02699415,0, ,0.855,20.995,1.27469,19.773,1.27001,19.773,1.27001,1.644,0.55826,10.165,0.98379,10.165,0.98379,0.811,0.48009,8.717,0.93087,8.717,0.93087,4.931,0.75612,15.9,1.1649,15.9,1.1649,29.317,1.46214,34.262,1.59597,34.262,1.59597,61.6,2.01973,57.756,2.0074,57.756,2.0074,58.06,1.96678,51.16,1.90144,51.16,1.90144,42.149,1.70743,29.05,1.48795,29.05,1.48795,21.583,1.28897,15.297,1.14749,15.297,1.14749,11.922,1.02389,14.151,1.11351,14.151,1.11351,10.351,0.97217,14.042,1.11021,14.042,1.11021,6.63,0.83234,7.849,0.89714,7.849,0.89714,3.171,0.66255,8.813,0.9345,8.813,0.9345,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010207,HUC-1701020705,HUC-170102070503,72.86,2003,20.47,18.7,20.56,NA,0,36.33,0,0,11.8,0,0.12,0,0.25,0.31,49.78,0,0,0.04,1.24,0.13,9.996549106689999,0,10.78,134.00685034211676,0,929.4163864239999,4.07968154486,0,0,15.91825787353812,0,0,0.1064,0,0,871.6338,-1.8429641180400003,0,70.2212,0,0.6186764670208379,0,0.284,0,182.88,0,3.8748109865579665,0,0,0,89.22,35.87698379191537
Lower MacDonald Creek,22957903,-113.997184,48.525536,2334202,2001-03-01 21:00:00,Medium,787031,McDonald Creek,2.333,17010207000384,With Digitized,120049073,ArtificialPath,55800,0.0253679039914285,3,4,4,50007185,50007184,50018126,50017918,1804.3,50001315,327.486,0,0,0,3,50017918,50018342,50017918,0,1,50017918,0,100,0,0,0,2.8332,459.8946,459.8946,0,0.108498698652,StreamRiver,1084.87320347,NA,-9998,95620,96645,96645,1e-05,0, ,2.333,396.324,0.81587,402.542,0.81651,402.542,0.81651,58.389,0.49195,153.191,0.6126,153.191,0.6126,29.26,0.43558,106.395,0.55906,106.395,0.55906,65.542,0.50356,126.219,0.58287,126.219,0.58287,291.768,0.7397,322.589,0.76014,322.589,0.76014,669.771,0.97892,769.92,1.02538,769.92,1.02538,823.217,1.05655,936.735,1.10407,936.735,1.10407,787.472,1.03912,578.017,0.92413,578.017,0.92413,685.916,0.98746,352.868,0.78219,352.868,0.78219,559.885,0.91806,343.124,0.77519,343.124,0.77519,433.271,0.84046,333.33,0.76807,333.33,0.76807,237.306,0.69488,253.815,0.70614,253.815,0.70614,116.76,0.5736,202.982,0.66163,202.982,0.66163,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010207,HUC-1701020705,HUC-170102070505,31.3921,2003,10.13,6.85,8,NA,7.08,37.67,0.02,0.14,8.5,0.01,0.02,0.5,0.81,6.53,37.96,0.01,0.03,0.01,0.64,0.06,8.67538133849,25.09,2.44,118.02343021671264,0,1318.49772869,3.1723598526999996,2.44,0,11.628426500222993,0,0,4.07,0,0,879.1154,-2.33520235414,0,68.3612,0,0.9499798690143868,0,0.2079,0,182.84360070035183,2.44,5.450082733189078,0,7.34,0,60.24,35.58097656959747
Pinchot,22957733,-113.7005555,48.42222,2334123,2001-03-01 21:00:00,Medium,788868,Pinchot Creek,1.407,17010207000316,With Digitized,0,StreamRiver,46006,0.0157005784327246,4,2,2,50007104,50007089,50070722,50070722,1835.638,50001315,23.509,0,0,0,3,50070722,50079035,50036928,0,1,50036928,0,100,0,0,0,1.1322,47.3841,47.3841,0,0.0346959282486, ,1085.59582531,NA,-9998,109637,118922,109637,0.06599147,0, ,1.407,48.212,1.54374,46.387,1.53988,46.387,1.53988,6.917,0.74897,30.286,1.2904,30.286,1.2904,3.449,0.61286,23.931,1.17496,23.931,1.17496,3.832,0.63037,12.992,0.93491,12.992,0.93491,25.486,1.189,29.886,1.28349,29.886,1.28349,74.313,1.86281,70.801,1.8499,70.801,1.8499,103.443,2.16124,96.368,2.12409,96.368,2.12409,104.423,2.17054,73.389,1.87957,73.389,1.87957,91.174,2.0411,56.546,1.67644,56.546,1.67644,71.416,1.83034,62.334,1.74909,62.334,1.74909,52.711,1.60367,55.844,1.66739,55.844,1.66739,27.807,1.23071,31.608,1.31293,31.608,1.31293,13.804,0.94427,31.683,1.3142,31.683,1.3142,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010207,HUC-1701020703,HUC-170102070306,0,2003,0,0,0,0,11.1,60.83,0,0.09,1,0.01,0,0.06,0.75,0.02,26.07,0,0,0,0,0.07,7.2193374642600014,4.11,0,111.6176098311459,0,1531.3776721,2.1826955523800002,0,0,10.12595111018253,0,0,7.7146,0,0,881,-2.85759399751,0,67.4633,0,1.0875783015821765,0,0.1938,0,182.88,6.07,5.812895971433456,0,0,0,89.82,34.646512564341194
Upper MacDonald Creek,22957933,-113.8669444,48.63527778,2334967,2001-03-01 21:00:00,Medium,787031,McDonald Creek,1.13,17010207131148,With Digitized,22961759,ArtificialPath,55800,0.013621063438497,3,4,4,50007200,50007199,50021932,50017918,1821.343,50001315,211.674,0,0,0,3,50017918,50022286,50017918,0,1,50021603,0,100,0,0,0,4.6242,287.7372,287.7372,0,41.8962145743,LakePond,1622.19047187,NA,-9998,96227,97181,96645,0.00474336,0, ,1.13,308.2,-9998,311.019,-9998,311.019,-9998,51.469,-9998,139.189,-9998,139.189,-9998,25.806,-9998,97.466,-9998,97.466,-9998,31.577,-9998,70.331,-9998,70.331,-9998,145.624,-9998,163.73,-9998,163.73,-9998,435.398,-9998,482.428,-9998,482.428,-9998,603.998,-9998,667.068,-9998,667.068,-9998,630.679,-9998,460.723,-9998,460.723,-9998,586.159,-9998,305.97,-9998,305.97,-9998,495.146,-9998,309.92,-9998,309.92,-9998,384.326,-9998,301.108,-9998,301.108,-9998,207.482,-9998,222.764,-9998,222.764,-9998,102.932,-9998,181.902,-9998,181.902,-9998,0.0628091395237,1754031.69742,2.30511502086,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010207,HUC-1701020705,HUC-170102070502,24.9105,2003,8.22,4.21,6.88,NA,10.64,39.03,0.02,0.22,2.82,0.02,0,0.76,1.2,0.81,43.92,0.01,0.03,0.01,0.44,0.05,7.68277083138,39.58,0,113.23861345352634,0,1537.28185352,2.4426271804599997,3.9,0,10.318667815631764,0,0,3.4306,0,0,879.5435,-2.8018131332599996,0,67.6349,0,1.049391319579116,0,0.1969,0,182.88,3.72,6.01417027412514,0,0.27,0,52.53,35.442254619840604
DS1,2889268,-105.393878,40.039046,1522254,1999-05-27 21:00:00,Medium,178470,Fourmile Creek,4.666,10190005000097,With Digitized,0,StreamRiver,46006,0.0523571661120769,6,2,2,550008838,550008858,550084362,550067758,3855.802,350002977,23.527,0,0,0,6,550067758,550099088,550067758,0,1,550074683,0,100,0,0,0,8.0316,41.4918,41.4918,0,0.139428802349, ,37.8453240689,NA,-9998,200680,219187,201169,0.03861551,0, ,4.666,6.23,1.25077,10.258,1.28962,8.073,1.27076,2.429,0.87989,3.014,0.82045,1.903,0.75516,2.247,0.85673,3.064,0.82494,2.022,0.76979,0.565,0.57183,2.96,0.81555,2.195,0.79035,10.876,1.57522,24.127,1.85366,19.372,1.84017,19.484,2.03491,27.964,1.97963,25.165,2.06846,15.424,1.83344,27.73,1.97219,22.243,1.9568,11.896,1.63698,19.802,1.69977,12.622,1.52852,7.018,1.3123,7.857,1.16007,5.087,1.06147,4.161,1.06898,7.829,1.15846,4.614,1.02343,2.947,0.94166,9.751,1.26356,5.852,1.11962,1.504,0.75146,5.563,1.0174,3.746,0.94852,2.739,0.91752,3.376,0.85223,2.098,0.77892,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190005,HUC-1019000504,HUC-101900050403,16.3095,2010,5.67,2.74,5.66,NA,0,69.02,0,1.34,13.07,0,0.18,0.1,0.03,0.18,13.15,0,0.46,0.07,1.64,0.76,11.6916389047,0,0,108.31129408702442,0,603.858941801,5.152214219509999,0,0,11.904145156392346,0,0,0.0885,0,0,91,-1.39254782421,0,68.4323,0,0.5266411435512559,0,0.2155,0,173.81440544878745,0,12.842507049585702,100,0,0,0,57.78819964426706
