Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Goodale et al. 2010,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,9/1/97,Unburn,80,Mean_Mean,,,,,77.11864407,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2011,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,10/1/96,Unburn,80,Mean_Mean,,,,,0,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2012,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,11/1/96,Unburn,80,Mean_Mean,,,,,13.84180791,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2013,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,1/1/97,Unburn,80,Mean_Mean,,,,,61.29943503,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2014,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,2/1/97,Unburn,80,Mean_Mean,,,,,77.11864407,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2015,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,3/1/97,Unburn,80,Mean_Mean,,,,,81.07344633,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2016,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,4/1/97,Unburn,80,Mean_Mean,,,,,92.93785311,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2017,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,5/1/97,Unburn,80,Mean_Mean,,,,,61.29943503,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2018,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,6/1/97,Unburn,80,Mean_Mean,,,,,13.84180791,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2019,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,7/1/97,Unburn,80,Mean_Mean,,,,,9.88700565,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2020,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,8/1/97,Unburn,80,Mean_Mean,,,,,5.93220339,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2021,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,9/1/97,Unburn,80,Mean_Mean,,,,,3.95480226,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2022,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,2/1/97,Unburn,80,Mean_Mean,,,,,227.4011299,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2023,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,3/1/97,Unburn,80,Mean_Mean,,,,,292.6553672,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2024,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,4/1/97,Unburn,80,Mean_Mean,,,,,322.3163842,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2025,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,5/1/97,Unburn,80,Mean_Mean,,,,,183.8983051,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2026,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,6/1/97,Unburn,80,Mean_Mean,,,,,110.7344633,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2027,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,7/1/97,Unburn,80,Mean_Mean,,,,,61.29943503,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2028,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,8/1/97,Unburn,80,Mean_Mean,,,,,59.3220339,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2029,10.1007/s100210000039,Control_Reference_vs_Impact,,,218,ha,Control ,,Gibbs Brook spruce-fir,9/1/97,Unburn,80,Mean_Mean,,,,,57.34463277,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2030,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,10/1/96,Unburn,80,Mean_Mean,,,,,128.5310734,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2031,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,11/1/96,Unburn,80,Mean_Mean,,,,,110.7344633,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2032,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,1/1/97,Unburn,80,Mean_Mean,,,,,227.4011299,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2033,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,2/1/97,Unburn,80,Mean_Mean,,,,,245.1977401,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2034,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,3/1/97,Unburn,80,Mean_Mean,,,,,308.4745763,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2035,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,4/1/97,Unburn,80,Mean_Mean,,,,,318.3615819,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2036,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,5/1/97,Unburn,80,Mean_Mean,,,,,223.4463277,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2037,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,6/1/97,Unburn,80,Mean_Mean,,,,,191.8079096,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2038,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,7/1/97,Unburn,80,Mean_Mean,,,,,96.89265537,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2039,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,8/1/97,Unburn,80,Mean_Mean,,,,,284.7457627,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2040,10.1007/s100210000039,Control_Reference_vs_Impact,,,9,ha,Control ,,Lafayette Brook ,9/1/97,Unburn,80,Mean_Mean,,,,,229.3785311,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2041,10.1007/s100210000039,Control_Reference_vs_Impact,,,215,ha,Control ,,Nancy Brook,5/1/97,Unburn,80,Mean_Mean,,,,,130.5084746,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2042,10.1007/s100210000039,Control_Reference_vs_Impact,,,215,ha,Control ,,Nancy Brook,6/1/97,Unburn,80,Mean_Mean,,,,,65.25423729,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2043,10.1007/s100210000039,Control_Reference_vs_Impact,,,215,ha,Control ,,Nancy Brook,7/1/97,Unburn,80,Mean_Mean,,,,,59.3220339,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2044,10.1007/s100210000039,Control_Reference_vs_Impact,,,215,ha,Control ,,Nancy Brook,8/1/97,Unburn,80,Mean_Mean,,,,,31.63841808,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2045,10.1007/s100210000039,Control_Reference_vs_Impact,,,215,ha,Control ,,Nancy Brook,9/1/97,Unburn,80,Mean_Mean,,,,,41.52542373,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2046,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,10/1/96,Burn,110,Mean_Mean,,,,,47.1910112,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2047,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,11/1/96,Burn,110,Mean_Mean,,,,,41.2921348,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2048,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,1/1/97,Burn,110,Mean_Mean,,,,,90.4494382,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2049,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,2/1/97,Burn,110,Mean_Mean,,,,,94.3820225,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2050,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,3/1/97,Burn,110,Mean_Mean,,,,,108.146067,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2051,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,4/1/97,Burn,110,Mean_Mean,,,,,121.910112,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2052,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,5/1/97,Burn,110,Mean_Mean,,,,,88.4831461,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2053,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,6/1/97,Burn,110,Mean_Mean,,,,,43.258427,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2054,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,7/1/97,Burn,110,Mean_Mean,,,,,31.4606742,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2055,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,8/1/97,Burn,110,Mean_Mean,,,,,35.3932584,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2056,10.1007/s100210000039,Control_Reference_vs_Impact,,,114,ha,Site_1,,Zealand Valley,9/1/97,Burn,110,Mean_Mean,,,,,35.3932584,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2057,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,10/1/96,Burn,90,Mean_Mean,,,,,0,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2058,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,11/1/96,Burn,90,Mean_Mean,,,,,9.831460674,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2059,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,1/1/97,Burn,90,Mean_Mean,,,,,41.29213483,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2060,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,2/1/97,Burn,90,Mean_Mean,,,,,45.2247191,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2061,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,3/1/97,Burn,90,Mean_Mean,,,,,51.12359551,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2062,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,4/1/97,Burn,90,Mean_Mean,,,,,55.05617978,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2063,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,5/1/97,Burn,90,Mean_Mean,,,,,39.3258427,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2064,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,6/1/97,Burn,90,Mean_Mean,,,,,9.831460674,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2065,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,7/1/97,Burn,90,Mean_Mean,,,,,7.865168539,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2066,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,8/1/97,Burn,90,Mean_Mean,,,,,5.898876404,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2067,10.1007/s100210000039,Control_Reference_vs_Impact,,,37,ha,Site_2,,George's Gorge,9/1/97,Burn,90,Mean_Mean,,,,,1.966292135,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2068,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,10/1/96,Burn,80,Mean_Mean,,,,,0,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2069,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,11/1/96,Burn,80,Mean_Mean,,,,,1.96629213,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2070,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,1/1/97,Burn,80,Mean_Mean,,,,,9.83146067,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2071,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,2/1/97,Burn,80,Mean_Mean,,,,,15.7303371,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2072,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,3/1/97,Burn,80,Mean_Mean,,,,,7.86516854,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2073,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,4/1/97,Burn,80,Mean_Mean,,,,,9.83146067,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2074,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,5/1/97,Burn,80,Mean_Mean,,,,,1.96629213,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2075,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,6/1/97,Burn,80,Mean_Mean,,,,,7.86516854,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2076,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,7/1/97,Burn,80,Mean_Mean,,,,,7.86516854,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2077,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,8/1/97,Burn,80,Mean_Mean,,,,,15.7303371,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2078,10.1007/s100210000039,Control_Reference_vs_Impact,,,35.5,ha,Site_3,,Rocky Branch,9/1/97,Burn,80,Mean_Mean,,,,,11.7977528,ug_L_N,,,NO3-N Fig 3,
