Study_ID,Site,Effect_size_pair,Fire_N/Ame,Fire_year,Data_collection_years,Vegetation_year_pull,latitude,longitude,Area_watershed,burn_percentage,Reports_Size,Reports_Burn_Percentage,Reports_Coords,Have_HUC
Mast & Clow; 2008,Pinchot,N/A,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2004_2008,48.42222,-113.7005555,47.3,0.2982,Y,Y,N_Hampton,Y
Mast & Clow; 2008,Upper MacDoN/Ald Creek,lnR4_post,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2004_2008,48.63527778,-113.8669444,282,26,Y,Y,N_Hampton,Y
Mast & Clow; 2008,N/A,N/A,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2004_2008,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Murphy et al. 2015,DS1,lnR1,Fourmile Canyon Fire,MTBS_2010Ws,2010_2011_2012_2013,2011,40.039046,-105.393878,37,16.3095,N_Hampton,N,N_Google,Y
Murphy et al. 2015,DS2,lnR2,Fourmile Canyon Fire,MTBS_2010Ws,2010_2011_2012_2013,2011,40.041668,-105.364823,50,27.1144,N_Hampton_has USGS Q Gauge,N,N_Google,Y
Murphy et al. 2015,DS3,lnR3,Fourmile Canyon Fire,MTBS_2010Ws,2010_2011_2012_2013,2011,40.0155,-105.324566,63.1,27.1121,N_Hampton_has USGS Q Gauge,N,N_Google,Y
Murphy et al. 2015,US1,N/A,Fourmile Canyon Fire,MTBS_2010Ws,2010_2011_2012_2013,2011,40.036103,-105.439101,25.9,0,N_Hampton,N,N_Google,Y_Same_COMID_as_US2
Murphy et al. 2015,US2,N/A,Fourmile Canyon Fire,MTBS_2010Ws,2010_2011_2012_2013,2011,40.037791,-105.421247,29,0,N_Hampton,N,N_Google,Y
Murphy et al. 2015,N/A,N/A,Fourmile Canyon Fire,MTBS_2010Ws,2010_2011_2012_2013,2011,40.033333,-105.416667,-9999,-9999,N/A,N/A,N/A,N/A
Murphy et al. 2018,DS1,lnR1,Fourmile Canyon Fire,MTBS_2010Ws,2011_2012_2013_2014_2015,2011,40.039046,-105.393878,370,16.3095,N_Hampton,N,N_Google,Y
Murphy et al. 2018,DS2,lnR2,Fourmile Canyon Fire,MTBS_2010Ws,2011_2012_2013_2014_2015,2011,40.041668,-105.364823,500,27.1144,N_Hampton_has USGS Q Gauge,N,N_Google,Y
Murphy et al. 2018,DS3,lnR3,Fourmile Canyon Fire,MTBS_2010Ws,2011_2012_2013_2014_2015,2011,40.0155,-105.324566,631,27.1121,N_Hampton_has USGS Q Gauge,N,N_Google,Y
Murphy et al. 2018,US1,N/A,Fourmile Canyon Fire,MTBS_2010Ws,2011_2012_2013_2014_2015,2011,40.036103,-105.439101,259,0,N_Hampton,N,N_Google,Y_Same_COMID_as_US2
Neary & Currier; 1982,Crane Creek ,N/A,Jumping Branch Wildfire,MTBS_1978Ws,1979,2001,34.937946,-83.093596,3.66,N/A,Y,Y,N_Hampton,Y
Neary & Currier; 1982,Wash Branch,lnR1,Jumping Branch Wildfire,MTBS_1978Ws,1979,2001,34.920959,-83.0922,2.18,31.3,Y,Y,N_Hampton,N_too small I think
Neary & Currier; 1982,N/A,N/A,Jumping Branch Wildfire,MTBS_1978Ws,1979,2001,36.095349,-82.265,-9999,-9999,N/A,N/A,N/A,N/A
Oliver et al. 2012,Control,N/A,Angora Fire,MTBS_2007Ws,2008_2009,2008,38.868,-120.062,6.64,74,Y,Y,N_Google,Y_need to add
Oliver et al. 2012,Site 1,N/A,Angora Fire,MTBS_2007Ws,2008_2009,2008,38.88,-120.041,-9999,-9999,N,N,N_Google,Y
Oliver et al. 2012,Site 2,lnR1,Angora Fire,MTBS_2007Ws,2008_2009,2008,38.879,-120.03,8.39,76.4673,Y,Y,N_Google,Y_Same_COMID_as_Site_1
Oliver et al. 2012,Site 3,lnR2,Angora Fire,MTBS_2007Ws,2008_2009,2008,38.873,-120.013,15.3,41,Y,Y,N_Google,Y_needed to change Comid in code
Oliver et al. 2012,Site 4,lnR3,Angora Fire,MTBS_2007Ws,2008_2009,2008,-9999,-9999,-9999,56,N/A,N/A,N/A,N/A
Oliver et al. 2012,N/A,N/A,Angora Fire,MTBS_2007Ws,2008_2009,2008,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Rhea et al. 2021,B1,lnR1,High Park Fire,MTBS_2012Ws,2017,2019,40.26237,-105.590804,3.25,N/A,N/A,N/A,N/A,N/A
Rhea et al. 2021,B2,lnR2,Hayman Fire,MTBS_2002Ws,2017,2019,40.26237,-105.590804,6.02,N/A,N/A,N/A,N/A,N/A
Rhea et al. 2021,B3,lnR3,Hayman Fire,MTBS_2002Ws,2017,2019,40.26237,-105.590804,8.33,N/A,N/A,N/A,N/A,N/A
Rhea et al. 2021,U1,N/A,High Park Fire,MTBS_2012Ws,2017,2019,40.26237,-105.590804,7.04,0,N/A,N/A,N/A,N/A
Rhea et al. 2021,U2,N/A,Hayman Fire,MTBS_2002Ws,2017,2019,40.26237,-105.590804,19.38,0,N/A,N/A,N/A,N/A
Rhea et al. 2021,U3,N/A,Hayman Fire,MTBS_2002Ws,2017,2019,40.26237,-105.590804,8.6,0,N/A,N/A,N/A,N/A
Rhea et al. 2021,N/A,N/A,Hayman_High_Park,MTBS_2012Ws,2017,2019,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Tiedemann; 1973,Camas Creek,lnR1,Safety Harbor Fire ,MTBS_1970Ws,1970_1971_1972,2001,48.035327,-120.291846,68,N/A,Y,N_Hampton has values,N,Y
Tiedemann; 1973,Grade Creek,N/A,Safety Harbor Fire ,MTBS_1970Ws,1970_1971_1972,2001,48.02142,-120.255581,280,N/A,Y,N_Hampton has values,N,Y
Tiedemann; 1973,N/A,N/A,Safety Harbor Fire ,MTBS_1970Ws,1970_1971_1972,2001,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Uzun et al. 2020,Reference ,N/A,Rocky Fire_Wragg Fire,MTBS_2015Ws,2016_2017,2016,38.451372,122.056381,78,0,Y,N,Y,Y_size is pretty off_sus_points didn’t work
Uzun et al. 2020,Rocky Fire,lnR1,Rocky Fire_Wragg Fire,MTBS_2015Ws,2016_2017,2016,38.923564,122.326478,3017,12.8141,Y,N,Y,Y_size is pretty off_sus_points didn’t work
Uzun et al. 2020,Wragg Fire,lnR2,Rocky Fire_Wragg Fire,MTBS_2015Ws,2016_2017,2016,38.512031,122.097228,-9999,70.0648,N,N,Y,Y_cant confirm size cause its not in text
Uzun et al. 2020,N/A,N/A,Rocky Fire_Wragg Fire,MTBS_2015Ws,2016_2017,2016,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Wagner et al. 2015,PBR,N/A,High Park Fire,MTBS_2012Ws,2013,2013,40.699423,-105.545085,618.46,0,N_Hampton,N_Hampton has values,N_Hampton,Y
Wagner et al. 2015,PNF,lnR2,High Park Fire,MTBS_2012Ws,2013,2013,40.703249,-105.2424,1255.15,16.7187,N_Hampton,N_Hampton has values,N_Hampton,Y
Wagner et al. 2015,PSF,lnR1,High Park Fire,MTBS_2012Ws,2013,2013,40.685031,-105.449096,963.26,1.5243,N_Hampton,N_Hampton has values,N_Hampton,Y_size is pretty off_sus_points didn’t work
Wagner et al. 2015,N/A,N/A,High Park Fire,MTBS_2012Ws,2013,2013,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Writer et al. 2014,PBR,N/A,Hewlett Gulch_High Park fire,MTBS_2012Ws,2012_2013,2013,40.699423,-105.545085,6184.6,0,N_Hampton,N_Hampton has values,N_Hampton,Y
Writer et al. 2014,PNF,lnR1,Hewlett Gulch_High Park fire,MTBS_2012Ws,2012_2013,2013,40.685031,-105.449096,9632.6,16.7187,N_Hampton,N_Hampton has values,N_Hampton,Y_size is pretty off_sus_points didn’t work
Writer et al. 2014,PSF,lnR2,Hewlett Gulch_High Park fire,MTBS_2012Ws,2012_2013,2013,40.703249,-105.2424,12551.5,1.5243,N_Hampton,N_Hampton has values,N_Hampton,Y
Writer et al. 2014,N/A,N/A,Hewlett Gulch_High Park fire,MTBS_2012Ws,2012_2013,2013,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
