Study_ID,Site,Effect_size,Climate,totdasqkm,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,burn_percentage,Time_Since_Fire
Hauer & Spencer 1998,Red Bench Creek,1.911426272610421,Dfc,1.9386,124759,137433,124759,0,0.0664604,95.6,1
Hauer & Spencer 1998,Red Meadow Creek,1.872308461156119,Dfc,77.9949,109888,113621,109888,0,0.02185597,24.087,1
Hauer & Spencer 1998,Akokala Creek,2.332128722301076,Dfc,105.8112,108366,109810,108366,0,0.00550514,9.9,1
Hauer & Spencer 1998,Quartz Creek,2.4314632577693227,Dfc,136.8477,104970,108277,105155,0,0.01675791,29.4,1
Hauer & Spencer 1998,Red Bench Creek,0.9052735213660048,Dfc,1.9386,124759,137433,124759,0,0.0664604,95.6,2
Hauer & Spencer 1998,Red Meadow Creek,1.7931305712867058,Dfc,77.9949,109888,113621,109888,0,0.02185597,24.087,2
Hauer & Spencer 1998,Akokala Creek,2.2632756340805606,Dfc,105.8112,108366,109810,108366,0,0.00550514,9.9,2
Hauer & Spencer 1998,Quartz Creek,2.1956752619491127,Dfc,136.8477,104970,108277,105155,0,0.01675791,29.4,2
Hauer & Spencer 1998,Red Bench Creek,0.5730656823751883,Dfc,1.9386,124759,137433,124759,0,0.0664604,95.6,3
Hauer & Spencer 1998,Red Meadow Creek,2.123237518978183,Dfc,77.9949,109888,113621,109888,0,0.02185597,24.087,3
Hauer & Spencer 1998,Akokala Creek,1.1968588798283115,Dfc,105.8112,108366,109810,108366,0,0.00550514,9.9,3
Hauer & Spencer 1998,Bowman Creek,1.2844252245417789,Dfc,137.0853,109364,110082,109440,0,0.01030497,11.3,3
Hauer & Spencer 1998,Quartz Creek,1.4865638267876355,Dfc,136.8477,104970,108277,105155,0,0.01675791,29.4,3
Hauer & Spencer 1998,Red Bench Creek,0.6206869330306183,Dfc,1.9386,124759,137433,124759,0,0.0664604,95.6,4
Hauer & Spencer 1998,Red Meadow Creek,2.355939128240543,Dfc,77.9949,109888,113621,109888,0,0.02185597,24.087,4
Hauer & Spencer 1998,Akokala Creek,1.144040408000032,Dfc,105.8112,108366,109810,108366,0,0.00550514,9.9,4
Hauer & Spencer 1998,Bowman Creek,0.5376175802346618,Dfc,137.0853,109364,110082,109440,0,0.01030497,11.3,4
Hauer & Spencer 1998,Red Bench Creek,0.16719947859094442,Dfc,1.9386,124759,137433,124759,0,0.0664604,95.6,5
Hauer & Spencer 1998,Red Meadow Creek,2.4331464456086973,Dfc,77.9949,109888,113621,109888,0,0.02185597,24.087,5
Hauer & Spencer 1998,Akokala Creek,1.464134057717891,Dfc,105.8112,108366,109810,108366,0,0.00550514,9.9,5
Hauer & Spencer 1998,Bowman Creek,0.8274961058239492,Dfc,137.0853,109364,110082,109440,0,0.01030497,11.3,5
Crandall et al. 2021,Benjamin Slough,1.28743921860061,Csa,337.365,136669,137637,137637,0,1e-5,67,0
Crandall et al. 2021,Payson,-4.246086967895374,Csa,70.5753,156372,163694,156372,0,0.03599803,90,0
Crandall et al. 2021,Spanish Fork Lower,0.3617241962673968,Csa,2010.5073,138783,139310,138783,0,0.00219949,24,0
Crandall et al. 2021,Spanish Fork Upper,-1.0139978491713204,Csa,1642.5162,145674,146394,145674,0,0.01123244,25,0
