MethodCode,MethodDescription,MethodLink
TrapezoidalFlume45,Stream flow measured using the 45-degree Trapezoidal flume and pressure measurements in the bottom of the stilling well.,http://www.czo.arizona.edu/czo_data/MethodsSites/jemez/StreamFlowMeasurement.pdf
Vaisala_GMP222,Vaisala GMP222 CO2 Probe,
Vaisala_GMP221,Vaisala GMP221 CO2 Probe,
apogee_SO110,apogee SO-110: Soil Response Thermistor Reference Oxygen Sensor,http://www.apogeeinstruments.com/so-110-soil-response-thermistor-reference-oxygen-sensor/
PH_EC1,Field probe measurement,
PH_EC2,Lab probe measurement,
ZeroTension,Zero Tension Soil Sampler,
Prenart ,Prenart Super Quartz suction cups soil water sampler.,www.prenart.dk
CeramicCup,Ceramic Cup Lysimeter,
OxyTem,Oxygen and temperature probe,
Wick,"Custom made, fiberglass wick-based passive capillary wick samplers (PCaps, Perdrial et al. 2012)",
AugeredSoil,Sample produced by taking a depth-resolved soil sample via auger; reacting the sample with ultrapure water for 24 hr and extracting the solution via centrifugation for chemical analysis.,
WellSample,Groundwater sampling at the piezometer location or well,
GRAB,Manual stream water sample collection,
GRAB_Auto,ISCO Automatic Sample Collector,
PrcpColl_Auto,Automatic Rain Sample Collector Teledyne ISCO; ISCO bottles have a thin layer of mineral oil to prevent evaporation,
PrcpColl,Bulk Precipitaion Collector consists of a funnel draining into removable 500mL nalgene plastic bottles housed within PVC,
Snow,"Snow samples collected in DI rinsed, double-bagged 1 gallon zip lock freezer bags",
Snow_Auto,Snow lysimeter ISCO Automatic Sample Collector,
Snow_Lys,Water sample manually collected from snow lysimeter,
Bucket5G,5 gallon bucket with a Win Situ transducer to record snowmelt,
Redox4Pt, Vertical redox probes with 4 platinum sensors produced by Paleo Terra, http://www.paleoterra.nl/
Well_Geokon4500,Vibrating wire piezometer Geokon 4500 with CR1000 data logger,https://www.geokon.com/4500-Series
Well_Troll400,Level TROLL 400 Data Logger,https://in-situ.com/products/water-level-monitoring/level-troll-400-data-logger/
Well_RuggedTroll,Rugged TROLL 100 Data Logger,https://in-situ.com/products/water-level-monitoring/rugged-troll-100/
SW_Troll300,Level TROLL 300 Data Logger; non-vented; corrected with met station air pressure,https://in-situ.com/wp-content/uploads/2015/03/Level-TROLL-300-Manual.pdf
SW_Troll500,Level TROLL 500 Data Logger; vented,https://in-situ.com/wp-content/uploads/2015/03/Level-TROLL-300-Manual.pdf
GW_Manual,"Manual groundwater sample collected using bailer, inertial pump, electric pump, or hydro sleeve speed bag after the volume V is purged",
GW_ISCO,ISCO Automatic Groundwater Sample Collection,
