Study_ID,Site,Burn_Unburn,Fire_name,Watershed_Size_km,burn_percentage
Murphy et al. 2018_1,DS1,Burn,Fourmile Canyon Fire,37,-9999
Murphy et al. 2018_2,US1,Unburn,Fourmile Canyon Fire,25.9,-9999
Murphy et al. 2018_2,DS2,Burn,Fourmile Canyon Fire,50,-9999
Murphy et al. 2018_3,US1,Unburn,Fourmile Canyon Fire,25.9,-9999
Murphy et al. 2018_3,DS3,Burn,Fourmile Canyon Fire,63.1,-9999
Neary & Currier; 1982,Crane Creek,Unburn,Jumping Branch Wildfire,3.66,-9999
Neary & Currier; 1982,Wash Branch,Burn,Jumping Branch Wildfire,2.18,-9999
Oliver et al. 2012_1,Site_1,Unburn,Angora Fire,2.7135,-9999
Oliver et al. 2012_1,Site_2,Burn,Angora Fire,6.64,-9999
Oliver et al. 2012_2,Site_1,Unburn,Angora Fire,2.7135,-9999
Oliver et al. 2012_2,Site_3,Burn,Angora Fire,8.39,-9999
Oliver et al. 2012_3,Site_1,Unburn,Angora Fire,2.7135,-9999
Oliver et al. 2012_3,Site_4,Burn,Angora Fire,15.03,-9999
Rhea et al. 2021_1,U1,Unburn,N/A,7.04,-9999
Rhea et al. 2021_1,B1,Burn,N/A,3.25,-9999
Rhea et al. 2021_2,U2,Unburn,N/A,19.38,-9999
Rhea et al. 2021_2,B2,Burn,N/A,6.02,-9999
Rhea et al. 2021_3,U3,Unburn,N/A,8.6,-9999
Rhea et al. 2021_3,B3,Burn,N/A,8.33,-9999
Tiedemann; 1997,Grade Creek,Unburn,Safety Harbor Fire ,28,-9999
Tiedemann; 1997,Camas Creek,Burn,Safety Harbor Fire ,6.8,-9999
Uzun et al. 2020_1,Reference,Unburn,N/A,78,-9999
Uzun et al. 2020_1,Rocky,Burn,N/A,3017,-9999
Uzun et al. 2020_2,Reference,Unburn,N/A,78,-9999
Uzun et al. 2020_2,Wragg,Burn,N/A,1491.4917,-9999
Wagner et al. 2015_1,PBR,Unburn,High Park Fire,618.46,-9999
Wagner et al. 2015_1,PSF,Burn,High Park Fire,963.26,-9999
Wagner et al. 2015_2,PBR,Unburn,High Park Fire,618.46,-9999
Wagner et al. 2015_2,PNF,Burn,High Park Fire,1255.15,-9999
Writer et al. 2014_1,PBR,Unburn,High Park Fire,618.46,-9999
Writer et al. 2014_1,PNF,Burn,High Park Fire,1255.15,-9999
Writer et al. 2014_2,PBR,Unburn,High Park Fire,618.46,-9999
Writer et al. 2014_2,PSF,Burn,High Park Fire,963.26,-9999
