Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,candidate_pair_id,Fire_name_metadata,Fire_year_metadata,Study_design_metadata,analytes_available,first_calendar_year,last_calendar_year,n_calendar_years,shared_control_id,n_pairs_sharing_reference,shared_reference,multi_fire_metadata,pairing_source,pairing_type_suggested,Fire_ID_Final,Pairing_Type_Final,Include,Decision_Status,Decision_Notes,Fire_ID_Analysis,Pairing_Type_Analysis,Composite_Reference_Candidate,Include_Analysis,Analysis_Decision_Status,Coauthor_Confirmation,Analysis_Assumption
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Matt fire,1985,Control/Reference vs. Impact,NO3,1985,1988,4,Gluns & Toews; 1989 | Control_1_2,2,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Gluns_Toews_1989_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,Red Bench Fire ,1988,Control/Reference vs. Impact,NO3,1989,1993,3,Hauer & Spencer 1998 | Control_1,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Hauer_Spencer_1998_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,Red Bench Fire ,1988,Control/Reference vs. Impact,NO3,1989,1993,3,Hauer & Spencer 1998 | Control_2,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Hauer_Spencer_1998_C2,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,Red Bench Fire ,1988,Control/Reference vs. Impact,NO3,1989,1993,4,Hauer & Spencer 1998 | Control_3_4_5,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Hauer_Spencer_1998_C3,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,Red Bench Fire ,1988,Control/Reference vs. Impact,NO3,1991,1993,2,Hauer & Spencer 1998 | Control_3_4_5,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Hauer_Spencer_1998_C4,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,Red Bench Fire ,1988,Control/Reference vs. Impact,NO3,1989,1991,3,Hauer & Spencer 1998 | Control_3_4_5,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Hauer_Spencer_1998_C5,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,Caldor Fire_Mosquito Fire,2021_2022,Control/Reference vs. Impact,DOC;NO3,2022,2022,1,Hickenbottom et al. 2023 | Control_1,1,false,true,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm which fire belongs to this comparison.,Hickenbottom_et_al_2023_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C2,Site_2,Control_2,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,Caldor Fire_Mosquito Fire,2021_2022,Control/Reference vs. Impact,DOC;NO3,2022,2022,1,Hickenbottom et al. 2023 | Control_2,1,false,true,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm which fire belongs to this comparison.,Hickenbottom_et_al_2023_C2,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,Rampage Fire_Others in Glacier NP,2003,Control/Reference vs. Impact,DOC;NO3,2004,2007,4,Mast & Clow; 2008 | Control_1,1,false,true,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm which fire belongs to this comparison.,Mast_Clow_2008_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Fourmile Canyon Fire,2010,Control/Reference vs. Impact,DOC;NO3,2011,2015,5,Murphy et al. 2018 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Murphy_et_al_2018_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Fourmile Canyon Fire,2010,Control/Reference vs. Impact,DOC;NO3,2011,2015,5,Murphy et al. 2018 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Murphy_et_al_2018_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Murphy et al. 2018,Murphy_et_al_2018_C3,Site_3,Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Fourmile Canyon Fire,2010,Control/Reference vs. Impact,DOC;NO3,2011,2015,5,Murphy et al. 2018 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Murphy_et_al_2018_C3,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Neary & Currier; 1982,Neary_Currier_1982_C1,Site_1,Control_1,Neary & Currier; 1982 | Neary_Currier_1982_C1 | Site_1 | Control_1,Jumping Branch Wildfire,1978,Control/Reference vs. Impact,NO3,1978,1979,2,Neary & Currier; 1982 | Control_1,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Neary_Currier_1982_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Oliver et al. 2012,Oliver_et_al_2012_C1,Site_1,Control_1_2_3,Oliver et al. 2012 | Oliver_et_al_2012_C1 | Site_1 | Control_1_2_3,Angora Fire,2007,Control/Reference vs. Impact,NO3,2008,2009,2,Oliver et al. 2012 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Oliver_et_al_2012_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Oliver et al. 2012,Oliver_et_al_2012_C2,Site_2,Control_1_2_3,Oliver et al. 2012 | Oliver_et_al_2012_C2 | Site_2 | Control_1_2_3,Angora Fire,2007,Control/Reference vs. Impact,NO3,2008,2009,2,Oliver et al. 2012 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Oliver_et_al_2012_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Oliver et al. 2012,Oliver_et_al_2012_C3,Site_3,Control_1_2_3,Oliver et al. 2012 | Oliver_et_al_2012_C3 | Site_3 | Control_1_2_3,Angora Fire,2007,Control/Reference vs. Impact,NO3,2008,2009,2,Oliver et al. 2012 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Oliver_et_al_2012_C3,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Rhea et al. 2021,Rhea_et_al_2021_C1,Site_1,Control_1,Rhea et al. 2021 | Rhea_et_al_2021_C1 | Site_1 | Control_1,Hayman Fire_High Park Fire,2002_2012,Control/Reference vs. Impact,DOC;NO3,2017,2017,1,Rhea et al. 2021 | Control_1,1,false,true,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm which fire belongs to this comparison.,Rhea_et_al_2021_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Rhea et al. 2021,Rhea_et_al_2021_C2,Site_2,Control_2_3,Rhea et al. 2021 | Rhea_et_al_2021_C2 | Site_2 | Control_2_3,Hayman Fire_High Park Fire,2002_2012,Control/Reference vs. Impact,DOC;NO3,2017,2017,1,Rhea et al. 2021 | Control_2_3,2,true,true,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Shared reference and fire assignment require author review.,Rhea_et_al_2021_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Rhea et al. 2021,Rhea_et_al_2021_C3,Site_3,Control_2_3,Rhea et al. 2021 | Rhea_et_al_2021_C3 | Site_3 | Control_2_3,Hayman Fire_High Park Fire,2002_2012,Control/Reference vs. Impact,DOC;NO3,2017,2017,1,Rhea et al. 2021 | Control_2_3,2,true,true,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Shared reference and fire assignment require author review.,Rhea_et_al_2021_C3,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Tiedemann; 1973,Tiedemann_1973_C1,Site_1,Control_1,Tiedemann; 1973 | Tiedemann_1973_C1 | Site_1 | Control_1,Safety Harbor Fire,1970,Control/Reference vs. Impact,NO3,1970,1972,3,Tiedemann; 1973 | Control_1,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Tiedemann_1973_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Uzun et al. 2020,Uzun_et_al_2020_C1,Site_1,Control_1_2,Uzun et al. 2020 | Uzun_et_al_2020_C1 | Site_1 | Control_1_2,Rocky Fire_Wragg Fire,2015,Control/Reference vs. Impact,DOC;NO3,2016,2017,2,Uzun et al. 2020 | Control_1_2,2,true,true,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Shared reference and fire assignment require author review.,Uzun_et_al_2020_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Uzun et al. 2020,Uzun_et_al_2020_C2,Site_2,Control_1_2,Uzun et al. 2020 | Uzun_et_al_2020_C2 | Site_2 | Control_1_2,Rocky Fire_Wragg Fire,2015,Control/Reference vs. Impact,DOC;NO3,2016,2017,2,Uzun et al. 2020 | Control_1_2,2,true,true,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Shared reference and fire assignment require author review.,Uzun_et_al_2020_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Wagner et al. 2015,Wagner_et_al_2015_C1,Site_1,Control_1_2,Wagner et al. 2015 | Wagner_et_al_2015_C1 | Site_1 | Control_1_2,High Park Fire,2012,Control/Reference vs. Impact,DOC,2013,2013,1,Wagner et al. 2015 | Control_1_2,2,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Wagner_et_al_2015_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Wagner et al. 2015,Wagner_et_al_2015_C2,Site_2,Control_1_2,Wagner et al. 2015 | Wagner_et_al_2015_C2 | Site_2 | Control_1_2,High Park Fire,2012,Control/Reference vs. Impact,DOC,2013,2013,1,Wagner et al. 2015 | Control_1_2,2,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Wagner_et_al_2015_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Writer et al. 2014,Writer_et_al_2014_C1,Site_1,Control_1_2,Writer et al. 2014 | Writer_et_al_2014_C1 | Site_1 | Control_1_2,Hewlett Gulch_High Park fire,2012_2012,Control/Reference vs. Impact,DOC;NO3,2012,2013,2,Writer et al. 2014 | Control_1_2,2,true,true,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Shared reference and fire assignment require author review.,Writer_et_al_2014_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Writer et al. 2014,Writer_et_al_2014_C2,Site_2,Control_1_2,Writer et al. 2014 | Writer_et_al_2014_C2 | Site_2 | Control_1_2,Hewlett Gulch_High Park fire,2012_2012,Control/Reference vs. Impact,DOC;NO3,2012,2013,2,Writer et al. 2014 | Control_1_2,2,true,true,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Shared reference and fire assignment require author review.,Writer_et_al_2014_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
